"No.","Time","Source","Destination","Protocol","Length","Info"
"6","32.995335","192.168.1.10","192.168.1.255","NTP","90","NTP Version 4, broadcast"
"10","49.058250","192.168.1.159","192.168.1.255","BROWSER","216","Get Backup List Request"
"12","49.064404","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"14","49.810825","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"16","50.555202","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"18","53.304029","192.168.1.159","192.168.1.255","BROWSER","216","Get Backup List Request"
"20","53.305879","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"22","54.059334","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"24","54.806286","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"26","57.555687","192.168.1.159","192.168.1.255","BROWSER","216","Get Backup List Request"
"27","57.556116","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"30","58.303931","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"32","59.058358","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"34","61.808942","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1e>"
"36","62.554390","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1e>"
"38","63.306568","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1e>"
"45","80.103237","192.168.1.159","192.168.1.255","BROWSER","255","Host Announcement ANN-LAPTOP, Workstation, Server, NT Workstation"
"91","96.999356","192.168.1.10","192.168.1.255","NTP","90","NTP Version 4, broadcast"
"98","159.995667","192.168.1.10","192.168.1.255","NTP","90","NTP Version 4, broadcast"
"109","222.995363","192.168.1.10","192.168.1.255","NTP","90","NTP Version 4, broadcast"
