"No.","Time","Source","Destination","Protocol","Length","Info"
"23","18.870898","192.168.1.158","64.12.24.50","SSL","60","Continuation Data"
"25","33.914966","192.168.1.158","64.12.24.50","SSL","243","Continuation Data"
"27","34.006599","192.168.1.158","64.12.24.50","SSL","94","Continuation Data"
"32","34.026804","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=236 Ack=210 Win=62780 Len=0"
"33","34.026809","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=236 Ack=248 Win=62742 Len=0"
"90","56.425051","192.168.1.158","239.255.255.250","SSDP","174","M-SEARCH * HTTP/1.1 "
"91","57.427165","192.168.1.158","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"92","58.458768","192.168.1.158","64.12.24.50","SSL","182","Continuation Data"
"96","58.569716","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=457 Win=62742 Len=0"
"98","58.574447","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=495 Win=62742 Len=0"
"110","61.052930","192.168.1.158","192.168.1.159","TCP","62","5190  >  1272 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"112","61.054884","192.168.1.158","192.168.1.159","TCP","310","5190  >  1272 [PSH, ACK] Seq=1 Ack=1 Win=5840 Len=256"
"118","61.155760","192.168.1.158","192.168.1.159","TCP","60","5190  >  1272 [ACK] Seq=257 Ack=257 Win=6432 Len=0"
"119","61.270615","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=257 Ack=257 Win=6432 Len=1460"
"120","61.270620","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=1717 Ack=257 Win=6432 Len=1460"
"122","61.270628","192.168.1.158","192.168.1.159","TCP","1230","5190  >  1272 [PSH, ACK] Seq=3177 Ack=257 Win=6432 Len=1176"
"123","61.270632","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=4353 Ack=257 Win=6432 Len=1460"
"124","61.270635","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=5813 Ack=257 Win=6432 Len=1460"
"126","61.270641","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=7273 Ack=257 Win=6432 Len=1460"
"127","61.270644","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=8733 Ack=257 Win=6432 Len=1460"
"128","61.270647","192.168.1.158","192.168.1.159","TCP","358","5190  >  1272 [PSH, ACK] Seq=10193 Ack=257 Win=6432 Len=304"
"129","61.270651","192.168.1.158","192.168.1.159","TCP","1514","5190  >  1272 [ACK] Seq=10497 Ack=257 Win=6432 Len=1460"
"131","61.270658","192.168.1.158","192.168.1.159","TCP","362","5190  >  1272 [PSH, ACK] Seq=11957 Ack=257 Win=6432 Len=308"
"134","61.270711","192.168.1.158","192.168.1.159","TCP","60","5190  >  1272 [ACK] Seq=12265 Ack=513 Win=7504 Len=0"
"137","61.288392","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=624 Win=62742 Len=0"
"139","61.337771","192.168.1.158","192.168.1.159","TCP","60","5190  >  1272 [ACK] Seq=12265 Ack=514 Win=7504 Len=0"
"162","67.395540","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=664 Win=62742 Len=0"
"168","69.579120","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=890 Win=62742 Len=0"
"175","73.079330","192.168.1.158","192.168.1.10","NTP","90","NTP Version 4, client"
"180","77.834516","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=930 Win=62742 Len=0"
"185","83.489598","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=1174 Win=62742 Len=0"
"191","83.907211","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=1214 Win=62742 Len=0"
"197","84.995488","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=364 Ack=1254 Win=62742 Len=0"
"200","87.726166","192.168.1.158","64.12.24.50","SSL","94","Continuation Data"
"210","90.788876","192.168.1.158","64.12.24.50","SSL","64","Continuation Data"
"212","90.816866","192.168.1.158","64.12.24.50","SSL","164","Continuation Data"
"217","91.033478","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=524 Ack=1463 Win=62742 Len=0"
"218","91.033482","192.168.1.158","64.12.24.50","TCP","60","51128  >  443 [ACK] Seq=524 Ack=1501 Win=62742 Len=0"
